item_id,order_id,product_id,quantity,unit_price,total_price
1,1,34,1,507.59,507.59
2,1,23,1,929.31,929.31
3,1,15,3,280.67,842.02
4,1,11,1,772.38,772.38
5,2,12,3,1597.94,4793.82
6,2,16,3,42.47,127.41
7,3,10,3,4184.44,12553.32
8,3,13,2,887.96,1775.92
9,3,32,3,1034.84,3104.52
10,4,13,1,787.61,787.61
11,4,9,1,4199.61,4199.61
12,4,22,3,772.56,2317.68
13,4,12,1,1597.94,1597.94
14,4,21,3,1754.04,5262.12
15,5,11,3,772.38,2317.14
16,5,28,3,1074.23,3222.69
17,6,12,1,1597.94,1597.94
18,6,25,3,1379.46,4138.38
19,6,20,2,61.02,122.04
20,6,19,3,121.79,365.37
21,6,9,3,4199.61,12598.83
22,7,22,1,772.56,772.56
23,7,5,2,922.51,1845.03
24,8,14,2,884.72,1769.44
25,8,16,1,42.47,42.47
26,8,5,1,1193.52,1193.52
27,9,32,2,883.86,1767.72
28,9,25,3,1379.46,4138.38
29,9,23,3,929.31,2787.93
30,9,35,2,708.89,1417.78
31,10,5,2,1044.22,2088.44
32,11,22,3,772.56,2317.68
33,12,11,2,772.38,1544.76
34,12,28,1,1074.23,1074.23
35,12,4,3,3280.07,9840.21
36,12,7,3,3807.28,11421.84
37,13,4,2,3280.07,6560.14
38,14,1,2,3485.59,6971.18
39,14,28,3,1074.23,3222.69
40,14,6,1,3024.29,3024.29
41,15,8,2,1725.85,3451.7
42,15,20,2,51.33,102.66
43,15,26,1,480.49,480.49
44,15,31,2,1422.93,2845.86
45,16,17,1,119.37,119.37
46,16,15,3,305.22,915.65
47,16,18,3,175.11,525.33
48,16,4,3,3280.07,9840.21
49,17,35,1,907.85,907.85
50,17,31,3,1189.22,3567.67
51,17,16,3,42.47,127.41
52,17,20,3,61.02,183.06
53,18,12,1,1493.0,1493.0
54,18,11,3,772.38,2317.14
55,18,14,3,735.19,2205.58
56,18,13,2,945.88,1891.76
57,19,26,1,480.49,480.49
58,19,21,3,1754.04,5262.12
59,19,18,2,161.11,322.23
60,19,34,3,507.59,1522.77
61,19,30,1,511.45,511.45
