order_id,customer_id,order_date,status,channel,total_amount,shipping_cost
1,31,2024-11-20,Entregue,Marketplace,3054.23,2.93
2,817,2024-09-16,Entregue,Marketplace,4938.97,17.74
3,936,2024-12-29,Entregue,Website,17468.93,35.17
4,540,2026-07-17,Entregue,Website,14181.55,16.59
5,104,2025-10-27,Entregue,Marketplace,5554.92,15.09
6,725,2026-01-09,Entregue,Marketplace,18833.72,11.16
7,580,2025-06-06,Entregue,Website,2664.42,46.83
8,91,2025-06-01,Entregue,Marketplace,3027.76,22.33
9,751,2026-05-31,Entregue,Marketplace,10160.27,48.46
10,302,2026-07-03,Entregue,Website,2104.38,15.94
11,750,2026-03-13,Entregue,Website,2345.03,27.35
12,915,2024-12-15,Entregue,Marketplace,23916.27,35.23
13,677,2025-03-21,Entregue,Marketplace,6575.01,14.87
14,861,2026-06-27,Entregue,Marketplace,13225.84,7.68
15,654,2024-09-30,Entregue,Marketplace,6929.56,48.85
16,457,2025-02-11,Entregue,Website,11413.72,13.16
17,63,2024-08-11,Entregue,Marketplace,4826.91,40.92
18,151,2024-12-25,Entregue,Website,7954.94,47.46
19,937,2026-06-12,Entregue,Website,8103.41,4.35
20,577,2025-08-08,Entregue,Website,9840.64,39.29
21,340,2024-09-27,Entregue,Website,7185.77,2.46
22,762,2026-06-25,Entregue,Marketplace,11228.11,38.7
23,841,2025-02-24,Entregue,Website,3667.34,25.76
24,537,2025-10-16,Entregue,Website,3373.7,8.69
25,281,2025-08-20,Entregue,Marketplace,8230.91,41.18
26,706,2025-03-26,Entregue,Website,13257.34,14.25
27,663,2025-11-10,Entregue,Website,777.8,30.06
28,966,2025-03-11,Entregue,Marketplace,7730.95,35.64
29,407,2024-12-27,Entregue,Website,8018.9,0.37
30,729,2024-10-13,Entregue,Marketplace,24491.56,9.42
31,352,2025-07-15,Entregue,Website,6633.65,34.32
32,188,2025-07-16,Entregue,Marketplace,3568.39,32.72
33,340,2025-01-22,Entregue,Marketplace,8998.03,13.03
34,513,2026-03-12,Entregue,Website,4707.32,43.37
35,500,2025-01-09,Entregue,Marketplace,5065.66,31.55
36,173,2024-12-26,Entregue,Website,12623.31,24.48
37,440,2025-03-16,Entregue,Marketplace,17124.79,21.45
38,232,2025-01-14,Entregue,Marketplace,4153.98,15.6
39,172,2026-02-19,Entregue,Website,2012.14,41.19
40,924,2024-09-22,Entregue,Marketplace,2231.81,17.96
41,217,2026-03-01,Entregue,Website,5960.89,29.48
42,656,2026-05-13,Entregue,Marketplace,27774.41,38.56
43,277,2026-03-10,Entregue,Website,4174.86,20.94
44,290,2026-01-15,Entregue,Website,5344.64,39.24
45,3,2025-06-26,Entregue,Website,1068.42,33.58
46,799,2025-10-13,Entregue,Website,394.29,36.18
47,304,2024-10-31,Entregue,Marketplace,1621.15,23.21
48,369,2025-04-12,Entregue,Marketplace,3532.83,21.3
49,663,2024-11-18,Entregue,Website,9878.57,16.43
50,665,2025-04-14,Entregue,Website,778.03,5.65
51,605,2026-03-06,Entregue,Marketplace,13294.7,40.11
52,48,2025-12-03,Entregue,Website,13114.23,13.08
53,444,2025-03-07,Entregue,Website,24167.91,24.1
54,994,2026-03-21,Entregue,Marketplace,2631.93,2.52
55,878,2025-05-14,Entregue,Marketplace,3126.87,22.35
56,106,2026-04-15,Entregue,Marketplace,22618.81,20.62
57,734,2025-10-19,Entregue,Marketplace,11457.64,35.8
58,350,2025-02-21,Entregue,Marketplace,13187.09,41.49
59,261,2024-11-21,Entregue,Website,5788.31,9.38
60,604,2026-02-24,Entregue,Website,1209.97,48.19
61,859,2025-08-20,Entregue,Marketplace,14242.99,46.22
62,330,2025-02-20,Entregue,Marketplace,4480.59,20.93
63,322,2024-12-15,Entregue,Website,19656.08,10.04
